event_id,timestamp,session_id,ordem_na_sessao,pagina_entrada,anonymous_id,usuario_id,identificado,empresa,cnpj_hash,perfil_real,area,pagina,oportunidade_id,categoria,modalidade,enviou_proposta,utm_source,utm_medium,utm_campaign,device,uf,porte_empresa
EV0000001,2026-06-17 08:08:36,anon_e9b489d070-S001,1,1,anon_e9b489d070,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000002,2026-06-17 08:10:35,anon_e9b489d070-S001,2,0,anon_e9b489d070,,0,,,explorador_sem_conversao,publica,detalhe_oportunidade_publica,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000003,2026-06-17 08:13:09,anon_5155fa1ab8-S001,1,1,anon_5155fa1ab8,,0,,,inativo_em_risco,publica,detalhe_oportunidade_publica,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000004,2026-06-17 08:14:28,anon_e9b489d070-S001,3,0,anon_e9b489d070,,0,,,explorador_sem_conversao,publica,tenho_interesse,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000005,2026-06-17 08:15:24,anon_e9b489d070-S001,4,0,anon_e9b489d070,U0063,1,Fornecedor 0063 LTDA,f8229a041350b64b,explorador_sem_conversao,publica,login,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000006,2026-06-17 08:17:37,anon_e9b489d070-S001,5,0,anon_e9b489d070,U0063,1,Fornecedor 0063 LTDA,f8229a041350b64b,explorador_sem_conversao,interna,painel_oportunidades,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000007,2026-06-17 08:18:00,anon_5155fa1ab8-S001,2,0,anon_5155fa1ab8,,0,,,inativo_em_risco,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000008,2026-06-17 08:18:44,anon_e9b489d070-S001,6,0,anon_e9b489d070,U0063,1,Fornecedor 0063 LTDA,f8229a041350b64b,explorador_sem_conversao,interna,detalhe_oportunidade,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000009,2026-06-17 08:20:24,anon_e9b489d070-S001,7,0,anon_e9b489d070,U0063,1,Fornecedor 0063 LTDA,f8229a041350b64b,explorador_sem_conversao,interna,envio_proposta,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,reengajamento_2026q3,desktop,PE,Pequeno
EV0000010,2026-06-17 08:20:27,anon_5155fa1ab8-S001,3,0,anon_5155fa1ab8,,0,,,inativo_em_risco,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000011,2026-06-17 08:21:33,anon_5155fa1ab8-S001,4,0,anon_5155fa1ab8,,0,,,inativo_em_risco,publica,detalhe_oportunidade_publica,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000012,2026-06-17 08:24:22,anon_5155fa1ab8-S001,5,0,anon_5155fa1ab8,,0,,,inativo_em_risco,publica,tenho_interesse,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000013,2026-06-17 08:25:05,anon_18a0d4de3d-S001,1,1,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,home_publica,,,,0,(direct),(none),,desktop,RJ,Medio
EV0000014,2026-06-17 08:27:03,anon_5155fa1ab8-S001,6,0,anon_5155fa1ab8,U0011,1,Fornecedor 0011 LTDA,419043427f6b67d0,inativo_em_risco,publica,login,,,,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000015,2026-06-17 08:27:52,anon_5155fa1ab8-S001,7,0,anon_5155fa1ab8,U0011,1,Fornecedor 0011 LTDA,419043427f6b67d0,inativo_em_risco,interna,painel_oportunidades,,,,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000016,2026-06-17 08:27:54,anon_18a0d4de3d-S001,2,0,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,ajuda_treinamentos,,,,0,(direct),(none),,desktop,RJ,Medio
EV0000017,2026-06-17 08:28:17,anon_5155fa1ab8-S001,8,0,anon_5155fa1ab8,U0011,1,Fornecedor 0011 LTDA,419043427f6b67d0,inativo_em_risco,interna,sala_colaboracao,OP-2026-0054,epi_seguranca,pregao_eletronico,0,petronect_crm,email,aviso_oportunidade,desktop,RS,Grande
EV0000018,2026-06-17 08:29:34,anon_18a0d4de3d-S001,3,0,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,home_publica,,,,0,(direct),(none),,desktop,RJ,Medio
EV0000019,2026-06-17 08:32:09,anon_18a0d4de3d-S001,4,0,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,modelo_cobranca_socio,,,,0,(direct),(none),,desktop,RJ,Medio
EV0000020,2026-06-17 09:06:42,anon_2ad499da99-S001,1,1,anon_2ad499da99,,0,,,explorador_sem_conversao,publica,avisos,,,,0,petronect_crm,email,reengajamento_2026q3,mobile,SE,Medio
EV0000021,2026-06-17 09:46:53,anon_818b48f496-S001,1,1,anon_818b48f496,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,google,organic,,desktop,RJ,
EV0000022,2026-06-17 09:49:04,anon_818b48f496-S001,2,0,anon_818b48f496,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,google,organic,,desktop,RJ,
EV0000023,2026-06-17 09:50:36,anon_818b48f496-S001,3,0,anon_818b48f496,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0008,epi_seguranca,pregao_eletronico,0,google,organic,,desktop,RJ,
EV0000024,2026-06-17 09:51:41,anon_818b48f496-S001,4,0,anon_818b48f496,,0,,,anonimo_recorrente,publica,tenho_interesse,OP-2026-0008,epi_seguranca,pregao_eletronico,0,google,organic,,desktop,RJ,
EV0000025,2026-06-17 09:53:06,anon_818b48f496-S001,5,0,anon_818b48f496,,0,,,anonimo_recorrente,publica,quer_se_cadastrar,,,,0,google,organic,,desktop,RJ,
EV0000026,2026-06-17 10:35:52,anon_6987fa841a-S001,1,1,anon_6987fa841a,,0,,,explorador_sem_conversao,publica,home_publica,,,,0,google,organic,,desktop,SP,Grande
EV0000027,2026-06-17 10:38:45,anon_5155fa1ab8-S002,1,1,anon_5155fa1ab8,U0011,1,Fornecedor 0011 LTDA,419043427f6b67d0,inativo_em_risco,interna,painel_oportunidades,,,,0,(direct),(none),,desktop,RS,Grande
EV0000028,2026-06-17 11:03:02,anon_fa6f18c108-S001,1,1,anon_fa6f18c108,,0,,,explorador_sem_conversao,publica,home_publica,,,,0,(direct),(none),,desktop,ES,Pequeno
EV0000029,2026-06-17 11:04:54,anon_fa6f18c108-S001,2,0,anon_fa6f18c108,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,ES,Pequeno
