usuario_id,empresa,cnpj_hash,perfil_real,data_cadastro,socio_fornecedor,categorias_interesse,uf,porte_empresa,anonymous_ids_conhecidos
U0001,Fornecedor 0001 LTDA,9d36405c93725b06,explorador_sem_conversao,2026-05-17,1,tubulacao_conexoes|servicos_manutencao,RN,Medio,anon_f0aa38d0a1
U0002,Fornecedor 0002 LTDA,c77399427ae6c8ac,ativo_convertendo,2021-06-02,1,epi_seguranca,RN,Medio,anon_494dcabfb7
U0003,Fornecedor 0003 LTDA,e39714410a419861,esporadico,2022-08-15,1,logistica_transporte|epi_seguranca|servicos_engenharia,BA,MEI,anon_36acf5e81e
U0004,Fornecedor 0004 LTDA,b82fef438b0ed950,novo_cadastro,2026-09-09,0,servicos_manutencao,RS,Pequeno,anon_f3d1843324
U0005,Fornecedor 0005 LTDA,75aeb2e96c714f30,novo_cadastro,2026-09-11,0,bombas_compressores|eletrica_instrumentacao,MG,Pequeno,anon_fb3eae0032
U0006,Fornecedor 0006 LTDA,ea3fa6736078d3d0,inativo_em_risco,2025-03-08,1,tubulacao_conexoes,PE,MEI,anon_667e8f8095
U0007,Fornecedor 0007 LTDA,81b9995b6ef4c46d,explorador_sem_conversao,2023-08-02,1,tubulacao_conexoes,SC,Grande,anon_6cc7468f59
U0008,Fornecedor 0008 LTDA,c4bde4a757e61ad8,novo_cadastro,2026-09-07,0,servicos_engenharia|epi_seguranca,ES,Grande,anon_2274daaebf
U0009,Fornecedor 0009 LTDA,79283447eadc7faf,inativo_em_risco,2023-04-09,1,logistica_transporte,ES,Medio,anon_e5722764e6
U0010,Fornecedor 0010 LTDA,6953ce6e050aef77,inativo_em_risco,2023-10-01,1,servicos_manutencao,ES,MEI,anon_a07c0e8cd8
U0011,Fornecedor 0011 LTDA,419043427f6b67d0,inativo_em_risco,2023-12-24,1,bombas_compressores|logistica_transporte|epi_seguranca,RS,Grande,anon_5155fa1ab8
U0012,Fornecedor 0012 LTDA,8b8ba3ecf31601e8,novo_cadastro,2026-09-03,0,logistica_transporte|eletrica_instrumentacao,RJ,Pequeno,anon_686a34c854
U0013,Fornecedor 0013 LTDA,0f23f0914af16ef0,ativo_convertendo,2022-06-08,1,valvulas|epi_seguranca|servicos_manutencao,MG,Grande,anon_e763b4c08b
U0014,Fornecedor 0014 LTDA,88aeb22cdb946c00,bloqueado_taxa_acesso,2023-04-27,0,epi_seguranca|servicos_manutencao,SC,Pequeno,anon_c04c71e0fe|anon_9c64e70f9a
U0015,Fornecedor 0015 LTDA,aaa3a2f81f5ec2ae,esporadico,2021-02-19,1,epi_seguranca,PR,Grande,anon_7c6f92f25e
U0016,Fornecedor 0016 LTDA,3c116bdbdc6ee67e,esporadico,2021-07-28,1,valvulas|eletrica_instrumentacao|servicos_manutencao,RN,MEI,anon_20eb67146a
U0017,Fornecedor 0017 LTDA,0b49fb07937aecb5,inativo_em_risco,2021-04-12,1,valvulas,SE,Grande,anon_76dde9f863
U0018,Fornecedor 0018 LTDA,c2905c283c30acba,ativo_convertendo,2021-02-07,1,servicos_manutencao|epi_seguranca,MG,Medio,anon_5653ac2ab9
U0019,Fornecedor 0019 LTDA,f5f3e845be8305b9,inativo_em_risco,2025-12-05,1,servicos_engenharia,RS,MEI,anon_8abfc00dc8
U0020,Fornecedor 0020 LTDA,4f71abf011559ea0,esporadico,2021-01-25,1,eletrica_instrumentacao,RJ,Pequeno,anon_07c1156d6d
U0021,Fornecedor 0021 LTDA,13c1c817dd4352be,inativo_em_risco,2024-06-30,1,logistica_transporte,SC,Medio,anon_f290604f62
U0022,Fornecedor 0022 LTDA,fae9b79cd83ec4bd,esporadico,2022-11-18,1,bombas_compressores|epi_seguranca|logistica_transporte,SE,MEI,anon_9b9b1bc895
U0023,Fornecedor 0023 LTDA,6057099181443f39,esporadico,2023-08-28,1,epi_seguranca|servicos_engenharia,RS,MEI,anon_ad93676a02
U0024,Fornecedor 0024 LTDA,d14a12d40243950e,explorador_sem_conversao,2021-07-29,1,bombas_compressores|epi_seguranca,RN,MEI,anon_b21a16342c
U0025,Fornecedor 0025 LTDA,23880560be887c1f,bloqueado_taxa_acesso,2025-03-12,0,servicos_engenharia,RJ,Grande,anon_5ea9597663
U0026,Fornecedor 0026 LTDA,923447f0ddd206d7,bloqueado_taxa_acesso,2020-07-11,0,logistica_transporte|servicos_engenharia,BA,Grande,anon_f56efb63b1|anon_e0bd3fdb62
U0027,Fornecedor 0027 LTDA,e857bee35155073b,bloqueado_taxa_acesso,2023-08-17,0,logistica_transporte|eletrica_instrumentacao,MG,Medio,anon_a6f7294951|anon_9b4b3a9a83
U0028,Fornecedor 0028 LTDA,433a24748a664157,explorador_sem_conversao,2022-02-16,1,servicos_manutencao,ES,Pequeno,anon_efd4aac9a3
U0029,Fornecedor 0029 LTDA,6d601a1579d5815d,ativo_convertendo,2023-06-25,1,servicos_engenharia|bombas_compressores,ES,Pequeno,anon_07561e16d1|anon_dc008ec990
U0030,Fornecedor 0030 LTDA,a95873b47238529b,esporadico,2021-10-27,1,servicos_manutencao|logistica_transporte|valvulas,AM,Pequeno,anon_4757207246
U0031,Fornecedor 0031 LTDA,cd09299bb829707d,esporadico,2026-03-09,1,logistica_transporte,PE,Grande,anon_8e7d137018
U0032,Fornecedor 0032 LTDA,d20d1c2759f126f1,esporadico,2022-03-29,1,epi_seguranca,SC,Pequeno,anon_4b17d2582e
U0034,Fornecedor 0034 LTDA,65d86976b51fef29,ativo_convertendo,2024-04-20,1,servicos_manutencao|bombas_compressores,SP,Pequeno,anon_457428a656
U0035,Fornecedor 0035 LTDA,ad3d24bbd613b8c6,esporadico,2024-03-14,1,logistica_transporte|tubulacao_conexoes|servicos_engenharia,RN,Medio,anon_373108d448
U0036,Fornecedor 0036 LTDA,74381f616b1aa99e,esporadico,2025-10-07,1,tubulacao_conexoes|logistica_transporte,RJ,Pequeno,anon_3a4bd6cee6
U0038,Fornecedor 0038 LTDA,a1db2f8c511e18bb,explorador_sem_conversao,2021-01-08,1,servicos_engenharia|bombas_compressores,RJ,Medio,anon_7a782a65e0
U0039,Fornecedor 0039 LTDA,3df8c4ef851fabd9,esporadico,2025-10-11,1,epi_seguranca,ES,MEI,anon_d21d34d08e|anon_02fed50d6b
U0040,Fornecedor 0040 LTDA,ed52b1250b26044c,bloqueado_taxa_acesso,2023-11-06,0,servicos_manutencao|valvulas|bombas_compressores,SP,Grande,anon_2626d794d3
U0041,Fornecedor 0041 LTDA,7eb6ce2e74bf1c65,explorador_sem_conversao,2025-09-14,1,logistica_transporte|eletrica_instrumentacao,SE,Grande,anon_85c693da11
U0042,Fornecedor 0042 LTDA,8b9437b651bfd221,explorador_sem_conversao,2025-06-20,1,bombas_compressores|epi_seguranca|logistica_transporte,PE,Pequeno,anon_f59c10c572
U0043,Fornecedor 0043 LTDA,1563fb4f6547f18e,ativo_convertendo,2021-02-09,1,bombas_compressores,BA,MEI,anon_3d2834e4c0
U0044,Fornecedor 0044 LTDA,a9ba7cffa9884725,ativo_convertendo,2021-04-15,1,servicos_manutencao,SC,Medio,anon_084a8ff810
U0045,Fornecedor 0045 LTDA,0bd525fbe70ad0fa,novo_cadastro,2026-09-11,0,eletrica_instrumentacao|logistica_transporte,SP,Pequeno,anon_3baff8754d
U0046,Fornecedor 0046 LTDA,80c3c3b408dbe1b3,explorador_sem_conversao,2023-02-21,1,bombas_compressores,RJ,Pequeno,anon_44e88da719|anon_3c302557f7
U0047,Fornecedor 0047 LTDA,8fee65b5eeab2544,ativo_convertendo,2020-11-03,1,servicos_manutencao|servicos_engenharia,MG,Medio,anon_1f706c5c56
U0048,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,2026-02-02,1,epi_seguranca,SC,Medio,anon_991497d658
U0049,Fornecedor 0049 LTDA,dc5244bbb07d7fa2,ativo_convertendo,2024-05-31,1,valvulas|epi_seguranca|servicos_engenharia,SE,MEI,anon_3a176132ed
U0051,Fornecedor 0051 LTDA,6a552bebe3080f11,bloqueado_taxa_acesso,2025-03-16,0,logistica_transporte,PR,Grande,anon_f87de1bdfe
U0052,Fornecedor 0052 LTDA,c9ad31c53cd8746c,esporadico,2021-11-20,1,epi_seguranca|servicos_engenharia,ES,Medio,anon_29db946570
U0053,Fornecedor 0053 LTDA,408f0bc2acde7c47,explorador_sem_conversao,2021-11-05,1,valvulas|eletrica_instrumentacao|logistica_transporte,PR,Medio,anon_c2d045dd1c
U0054,Fornecedor 0054 LTDA,dcae3e396e5c38e4,inativo_em_risco,2022-04-28,1,logistica_transporte,MG,MEI,anon_fcd32e6dcd
U0055,Fornecedor 0055 LTDA,3dbbf3786b9847c3,explorador_sem_conversao,2024-11-28,1,logistica_transporte|epi_seguranca,RJ,Pequeno,anon_c19f64eeed
U0056,Fornecedor 0056 LTDA,9730ddb13c95c5bd,explorador_sem_conversao,2022-11-23,1,logistica_transporte|valvulas,RJ,Pequeno,anon_49ed7bf656
U0057,Fornecedor 0057 LTDA,86d87dcd0d1d1258,esporadico,2024-08-26,1,epi_seguranca|valvulas|bombas_compressores,SP,Grande,anon_038d03c91e
U0058,Fornecedor 0058 LTDA,0100352397625354,bloqueado_taxa_acesso,2021-01-30,0,servicos_manutencao|logistica_transporte|servicos_engenharia,SE,Grande,anon_ee7f95897c
U0059,Fornecedor 0059 LTDA,bd0b5cd74cd1ac5e,bloqueado_taxa_acesso,2023-04-13,0,tubulacao_conexoes|eletrica_instrumentacao|bombas_compressores,RN,Pequeno,anon_743e652603
U0061,Fornecedor 0061 LTDA,3669d823a75bb0a4,inativo_em_risco,2022-10-08,1,logistica_transporte|tubulacao_conexoes,PR,Grande,anon_26dd81b7f5
U0062,Fornecedor 0062 LTDA,d12c1fc32316ed41,explorador_sem_conversao,2021-01-27,1,eletrica_instrumentacao|servicos_manutencao|logistica_transporte,RS,Grande,anon_30de9e3757
U0063,Fornecedor 0063 LTDA,f8229a041350b64b,explorador_sem_conversao,2025-12-18,1,epi_seguranca|servicos_engenharia,PE,Pequeno,anon_e9b489d070
U0064,Fornecedor 0064 LTDA,2b3a226767684a52,bloqueado_taxa_acesso,2021-04-03,0,servicos_engenharia|epi_seguranca|valvulas,ES,MEI,anon_802051acef
U0065,Fornecedor 0065 LTDA,b547bb2f8096337a,explorador_sem_conversao,2023-05-29,1,epi_seguranca,PE,Pequeno,anon_b803edd1f8
U0066,Fornecedor 0066 LTDA,89bd3088ea2afd7f,esporadico,2020-11-27,1,epi_seguranca|servicos_engenharia|valvulas,PR,Grande,anon_9f56abf2f1
U0067,Fornecedor 0067 LTDA,003c0af415a8ae97,esporadico,2025-05-13,1,bombas_compressores,RS,Medio,anon_8adf547e50
U0068,Fornecedor 0068 LTDA,d327bc9fab87e1e1,explorador_sem_conversao,2026-01-20,1,bombas_compressores,ES,Pequeno,anon_fa6f18c108
U0069,Fornecedor 0069 LTDA,ca8cc8babe14319f,inativo_em_risco,2023-08-22,1,servicos_manutencao,PR,Medio,anon_cb530a37df
U0070,Fornecedor 0070 LTDA,6441dc88fecad8b1,explorador_sem_conversao,2023-09-05,1,tubulacao_conexoes|bombas_compressores|epi_seguranca,SP,Grande,anon_6987fa841a
U0071,Fornecedor 0071 LTDA,4a0a6907ef5ad11f,bloqueado_taxa_acesso,2026-04-10,0,tubulacao_conexoes|bombas_compressores|eletrica_instrumentacao,PE,Medio,anon_e97f671eec|anon_319fb02727
U0072,Fornecedor 0072 LTDA,5fd6ea87de0a9364,explorador_sem_conversao,2022-07-03,1,servicos_manutencao|servicos_engenharia,AM,Pequeno,anon_cde61ede90
