oportunidade_id,categoria,modalidade,exige_socio_fornecedor,data_publicacao,data_fim
OP-2026-0001,valvulas,dispensa_eletronica,0,2026-08-17,2026-08-24
OP-2026-0002,tubulacao_conexoes,dispensa_eletronica,0,2026-06-28,2026-07-08
OP-2026-0003,bombas_compressores,concorrencia,1,2026-08-22,2026-09-16
OP-2026-0004,bombas_compressores,pregao_eletronico,1,2026-06-01,2026-06-08
OP-2026-0005,valvulas,concorrencia,1,2026-07-31,2026-08-20
OP-2026-0006,epi_seguranca,pregao_eletronico,1,2026-08-27,2026-09-21
OP-2026-0007,valvulas,dispensa_eletronica,0,2026-08-11,2026-08-23
OP-2026-0008,epi_seguranca,pregao_eletronico,1,2026-06-17,2026-07-12
OP-2026-0009,servicos_engenharia,pregao_eletronico,1,2026-06-16,2026-06-26
OP-2026-0010,servicos_engenharia,dispensa_eletronica,0,2026-07-15,2026-07-22
OP-2026-0011,valvulas,dispensa_eletronica,0,2026-08-13,2026-08-25
OP-2026-0012,epi_seguranca,pregao_eletronico,1,2026-08-04,2026-08-11
OP-2026-0013,servicos_engenharia,concorrencia,1,2026-07-04,2026-08-03
OP-2026-0014,valvulas,dispensa_eletronica,0,2026-08-26,2026-09-02
OP-2026-0015,bombas_compressores,dispensa_eletronica,0,2026-09-03,2026-09-15
OP-2026-0016,servicos_manutencao,concorrencia,1,2026-06-09,2026-06-24
OP-2026-0017,servicos_engenharia,pregao_eletronico,1,2026-07-13,2026-07-23
OP-2026-0018,bombas_compressores,concorrencia,1,2026-08-21,2026-09-02
OP-2026-0019,eletrica_instrumentacao,pregao_eletronico,1,2026-06-18,2026-07-08
OP-2026-0020,eletrica_instrumentacao,dispensa_eletronica,0,2026-07-15,2026-07-27
OP-2026-0021,valvulas,pregao_eletronico,1,2026-09-03,2026-10-03
OP-2026-0022,servicos_engenharia,pregao_eletronico,1,2026-06-01,2026-07-01
OP-2026-0023,servicos_engenharia,pregao_eletronico,1,2026-06-05,2026-06-15
OP-2026-0024,logistica_transporte,pregao_eletronico,1,2026-07-30,2026-08-14
OP-2026-0025,servicos_manutencao,dispensa_eletronica,0,2026-06-14,2026-06-24
OP-2026-0026,epi_seguranca,pregao_eletronico,1,2026-07-21,2026-08-10
OP-2026-0027,logistica_transporte,pregao_eletronico,1,2026-06-14,2026-07-04
OP-2026-0028,bombas_compressores,pregao_eletronico,1,2026-06-03,2026-07-03
OP-2026-0029,epi_seguranca,concorrencia,1,2026-06-17,2026-07-17
OP-2026-0030,logistica_transporte,concorrencia,1,2026-07-16,2026-07-31
